scheme,M,N,h,tau,error_max,error_ratio_to_prev,order_from_exact
lax,50,1000,0.02,0.001,1.407683044950018,nan,nan
lax,100,2000,0.01,0.0005,1.186466062143402,1.186450324931316,0.2466516981083435
lax,200,4000,0.005,0.00025,1.025470167985545,1.156997150364812,0.2103853111527354
lax,400,8000,0.0025,0.000125,0.9833195055040505,1.042865683275436,0.06055335675432038
box,50,1000,0.02,0.001,1.0034405999127,nan,nan
box,100,2000,0.01,0.0005,1.074888617808815,0.9335298404761568,-0.0992319556507758
box,200,4000,0.005,0.00025,1.130549830168027,0.9507662458797246,-0.07283740928301369
box,400,8000,0.0025,0.000125,1.173917881292206,0.9630569975844975,-0.05430690979983827
