x,lax_u1,lax_u2,lax_u3,box_u1,box_u2,box_u3,exact_u1,exact_u2,exact_u3
0,1.54287954637945,0.2285602268102749,-0.8952268934769406,1.534146756573265,0.2329266217133675,-0.8995932883800333,1.555555555555555,0.2222222222222223,-0.8888888888888881
0.0025,1.547235941997938,0.2302781370901763,-0.8995695957801541,1.612398524086228,0.1976968460460315,-0.866991753021311,1.545970051071675,0.2309110825533079,-0.9002059969679548
0.005,1.548296990842435,0.2335817957163533,-0.9055183414815453,1.599024668395185,0.2082179569399784,-0.8801615037313436,1.536412553293705,0.2395240144907181,-0.9114675761007712
0.0075,1.546900709536286,0.2380519578666624,-0.9126537230286655,1.499070275495789,0.261967174886911,-0.9365795976221767,1.526883651773143,0.2480604867482338,-0.9226729316201058
0.01,1.543731659393429,0.2433461102080809,-0.9206330631227384,1.436677986897987,0.296872946455802,-0.9741743166348549,1.517383934297524,0.2565199727560338,-0.9338213723268375
0.0125,1.539203700847777,0.2492570936963689,-0.9292490375284251,1.484322375684335,0.2766977562780898,-0.9567079795347826,1.507913986854149,0.2649019506931829,-0.9449122105326294
0.015,1.533743206223185,0.2555714972051989,-0.938288068713099,1.564520385066376,0.2401829077836032,-0.9229217226578668,1.498474393594009,0.2732059035197869,-0.955944762102345
0.0175,1.527525868574207,0.2622012531196575,-0.9476619214506052,1.555933136735868,0.2479976190388269,-0.9334845957591182,1.489065736795658,0.2814313190089318,-0.966918346496233
0.02,1.520842082449987,0.2690009469679348,-0.9572250124632424,1.457228455097316,0.3008077606442698,-0.9890622999203728,1.479688596829388,0.2895776897782343,-0.9778322868119161
0.0225,1.513729726974188,0.2759514258947594,-0.9669580189055996,1.387931712339874,0.3388504332119162,-1.029891765038213,1.470343552121347,0.2976445133211797,-0.988685909826149
0.025,1.506412217110736,0.2829407730416824,-0.9767488527552691,1.42806956637686,0.3221120984086205,-1.015959280877884,1.461031179117907,0.3056312920380968,-0.9994785460363328
0.0275,1.498843259546342,0.289991929618732,-0.9866202828950704,1.512326921551267,0.2832500986162696,-0.9799220167440801,1.451752052250122,0.313537533266842,-1.010209529701836
0.03,1.49121870974526,0.2970067663897068,-0.9964740066088973,1.517405484222166,0.2839133791512544,-0.9834287437110659,1.442506743898221,0.3213627493132266,-1.020878198885036
0.0325,1.48343618144388,0.3040362789373113,-1.006360844857571,1.424305250635523,0.3336017443414897,-1.035979090710474,1.433295824356395,0.3291064574810538,-1.031483895492162
0.035,1.47568704904034,0.3109845864805324,-1.016184741106915,1.342255029546432,0.3777005962274865,-1.082958283243149,1.424119861797534,0.3367681801019353,-1.042025965313893
0.0375,1.46782685170052,0.3179237298335854,-1.026017559297544,1.365864307567328,0.3689050019001813,-1.077061210727937,1.414979422238236,0.3443474445647272,-1.052503758065703
0.04,1.460056614309265,0.3247530109419975,-1.035758423391802,1.453141508107808,0.3282105640427261,-1.039283297054362,1.405875069503861,0.3518437833446995,-1.062916627427974
0.0425,1.452196014771729,0.3315624092433863,-1.04549713374551,1.480566516963084,0.3173771581477088,-1.031384237810922,1.39680736519378,0.3592567340323611,-1.073263931085888
0.045,1.444465037422666,0.3382417549740157,-1.055123340425515,1.401420195730315,0.3597641758201912,-1.076723243599208,1.387776868646711,0.3665858393619936,-1.083545030769006
0.0475,1.436649309234482,0.3448980610757248,-1.06474387512772,1.304372855281505,0.4110362880522137,-1.130964803319584,1.378784136906205,0.3738306472398638,-1.093759292290672
0.05,1.42899455897971,0.3514082936253978,-1.074235521617686,1.300431320254252,0.4156899129881271,-1.13860515194773,1.369829724686329,0.3809907107720885,-1.103906085587123
0.0525,1.421251617857709,0.3578968715320722,-1.083722515438958,1.383556432425324,0.376744464248265,-1.102663518869645,1.360914184337391,0.3880655882922315,-1.113984784756352
0.055,1.413697501972587,0.364225125308185,-1.093066002695596,1.439273236059522,0.3514372582647175,-1.080377035228744,1.352038065811934,0.3950548433885115,-1.123994768096724
0.0575,1.406045947632147,0.3705360294300586,-1.102408772423985,1.387497465839175,0.3798102703265449,-1.111787489982545,1.343201916630751,0.4019580449307565,-1.133935418145311
