scheme,M,N,h,tau,error_max,error_ratio_to_prev,order_from_exact
lax,50,1000,0.02,0.001,0.517482217257643,nan,nan
lax,100,2000,0.01,0.0005,0.3185830287910568,1.624324494689372,0.6998398715099725
lax,200,4000,0.005,0.00025,0.1777328611697027,1.792482418244917,0.8419589681683151
lax,400,8000,0.0025,0.000125,0.09386070414706005,1.893581161411622,0.9211172583792807
box,50,1000,0.02,0.001,0.001794736881333803,nan,nan
box,100,2000,0.01,0.0005,0.0004489336359855267,3.997777705815885,1.999198254065252
box,200,4000,0.005,0.00025,0.0001122490057433589,3.999444208993248,1.999799526839727
box,400,8000,0.0025,0.000125,2.806322636916825e-05,3.999861037599072,1.999949879037707
