file,n_points,slope,slope_err,intercept,intercept_err,output
der_1,200,0.0017838466792643292,0.0005031800646627887,3.1485363919357695e-10,5.832006708031221e-11,graphs/der_1.png
der_2,50000,3.731363583259822e-08,1.8478222752073088e-10,1.267523572914022e-13,5.4949255556751856e-15,graphs/der_2.png
der_3,5000000,2.044093630680377e-11,6.871127311650305e-15,-2.1404498575443486e-14,2.043317830797062e-17,graphs/der_3.png
