h;error
0.000001000000000;0.000000000000610
0.000001001000000;0.000000000004211
0.000001002000000;0.000000000004343
0.000001003000000;0.000000000007933
0.000001004000000;0.000000000005762
0.000001005000000;0.000000000005621
0.000001006000000;0.000000000005480
0.000001007000000;0.000000000001895
0.000001008000000;0.000000000001758
0.000001009000000;0.000000000001817
0.000001010000000;0.000000000001950
0.000001011000000;0.000000000002082
0.000001012000000;0.000000000002215
0.000001013000000;0.000000000005771
0.000001014000000;0.000000000005900
0.000001015000000;0.000000000004227
0.000001016000000;0.000000000004089
0.000001017000000;0.000000000003951
0.000001018000000;0.000000000003814
0.000001019000000;0.000000000000272
0.000001020000000;0.000000000000138
0.000001021000000;0.000000000003393
0.000001022000000;0.000000000003523
0.000001023000000;0.000000000003652
0.000001024000000;0.000000000003781
0.000001025000000;0.000000000007295
0.000001026000000;0.000000000006106
0.000001027000000;0.000000000005967
0.000001028000000;0.000000000002454
0.000001029000000;0.000000000002320
0.000001030000000;0.000000000001183
0.000001031000000;0.000000000001313
0.000001032000000;0.000000000001444
0.000001033000000;0.000000000001574
0.000001034000000;0.000000000005059
0.000001035000000;0.000000000005186
0.000001036000000;0.000000000008084
0.000001037000000;0.000000000004599
0.000001038000000;0.000000000004464
0.000001039000000;0.000000000000989
0.000001040000000;0.000000000004194
0.000001041000000;0.000000000000726
0.000001042000000;0.000000000000595
0.000001043000000;0.000000000002862
0.000001044000000;0.000000000002990
0.000001045000000;0.000000000003117
0.000001046000000;0.000000000003244
0.000001047000000;0.000000000003257
0.000001048000000;0.000000000003124
0.000001049000000;0.000000000002992
0.000001050000000;0.000000000002859
0.000001051000000;0.000000000000574
0.000001052000000;0.000000000000702
0.000001053000000;0.000000000000831
0.000001054000000;0.000000000000959
0.000001055000000;0.000000000004376
0.000001056000000;0.000000000004500
0.000001057000000;0.000000000007907
0.000001058000000;0.000000000005089
0.000001059000000;0.000000000004956
0.000001060000000;0.000000000004823
0.000001061000000;0.000000000004691
0.000001062000000;0.000000000001291
0.000001063000000;0.000000000002102
0.000001064000000;0.000000000002227
0.000001065000000;0.000000000002353
0.000001066000000;0.000000000002478
0.000001067000000;0.000000000005855
0.000001068000000;0.000000000005977
0.000001069000000;0.000000000003638
0.000001070000000;0.000000000003508
0.000001071000000;0.000000000000138
0.000001072000000;0.000000000003248
0.000001073000000;0.000000000000115
0.000001074000000;0.000000000000242
0.000001075000000;0.000000000003595
0.000001076000000;0.000000000000494
0.000001077000000;0.000000000003841
0.000001078000000;0.000000000007182
0.000001079000000;0.000000000005560
0.000001080000000;0.000000000005429
0.000001081000000;0.000000000002089
0.000001082000000;0.000000000005168
0.000001083000000;0.000000000001834
0.000001084000000;0.000000000001493
0.000001085000000;0.000000000001617
