x,ReR,ImR,AbsR
-50,5.0266071421262239,-0,5.0266071421262239
-49.972499999999997,5.0262114733886198,-0,5.0262114733886198
-49.945,5.0258154147147591,-0,5.0258154147147591
-49.917499999999997,5.0254189655291484,-0,5.0254189655291484
-49.890000000000001,5.0250221252551528,-0,5.0250221252551528
-49.862499999999997,5.0246248933150159,-0,5.0246248933150159
-49.835000000000001,5.0242272691298346,-0,5.0242272691298346
-49.807499999999997,5.0238292521195786,-0,5.0238292521195786
-49.780000000000001,5.0234308417030658,-0,5.0234308417030658
-49.752499999999998,5.0230320372979751,-0,5.0230320372979751
-49.725000000000001,5.0226328383208374,-0,5.0226328383208374
-49.697499999999998,5.0222332441870323,-0,5.0222332441870323
-49.670000000000002,5.021833254310792,-0,5.021833254310792
-49.642499999999998,5.0214328681051859,-0,5.0214328681051859
-49.615000000000002,5.0210320849821262,-0,5.0210320849821262
-49.587499999999999,5.0206309043523669,-0,5.0206309043523669
-49.560000000000002,5.0202293256254968,-0,5.0202293256254968
-49.532499999999999,5.019827348209934,-0,5.019827348209934
-49.505000000000003,5.0194249715129349,-0,5.0194249715129349
-49.477499999999999,5.0190221949405727,-0,5.0190221949405727
-49.450000000000003,5.0186190178977528,-0,5.0186190178977528
-49.422499999999999,5.0182154397881993,-0,5.0182154397881993
-49.395000000000003,5.0178114600144532,-0,5.0178114600144532
-49.3675,5.017407077977877,-0,5.017407077977877
-49.340000000000003,5.0170022930786358,-0,5.0170022930786358
-49.3125,5.0165971047157125,-0,5.0165971047157125
-49.284999999999997,5.0161915122868947,-0,5.0161915122868947
-49.2575,5.0157855151887709,-0,5.0157855151887709
-49.229999999999997,5.0153791128167349,-0,5.0153791128167349
-49.202500000000001,5.0149723045649752,-0,5.0149723045649752
-49.174999999999997,5.0145650898264771,-0,5.0145650898264771
-49.147500000000001,5.0141574679930168,-0,5.0141574679930168
-49.119999999999997,5.0137494384551609,-0,5.0137494384551609
-49.092500000000001,5.0133410006022547,-0,5.0133410006022547
-49.064999999999998,5.0129321538224385,-0,5.0129321538224385
-49.037500000000001,5.012522897502623,-0,5.012522897502623
-49.009999999999998,5.012113231028497,-0,5.012113231028497
-48.982500000000002,5.0117031537845289,-0,5.0117031537845289
-48.954999999999998,5.0112926651539489,-0,5.0112926651539489
-48.927500000000002,5.0108817645187624,-0,5.0108817645187624
-48.899999999999999,5.010470451259736,-0,5.010470451259736
-48.872500000000002,5.0100587247563979,-0,5.0100587247563979
-48.844999999999999,5.0096465843870348,-0,5.0096465843870348
-48.817500000000003,5.009234029528689,-0,5.009234029528689
-48.789999999999999,5.0088210595571558,-0,5.0088210595571558
-48.762500000000003,5.0084076738469774,-0,5.0084076738469774
-48.734999999999999,5.0079938717714407,-0,5.0079938717714407
-48.707500000000003,5.0075796527025824,-0,5.0075796527025824
-48.68,5.0071650160111698,-0,5.0071650160111698
-48.652500000000003,5.0067499610667152,-0,5.0067499610667152
-48.625,5.0063344872374582,-0,5.0063344872374582
-48.597499999999997,5.0059185938903701,-0,5.0059185938903701
-48.57,5.0055022803911529,-0,5.0055022803911529
-48.542499999999997,5.0050855461042261,-0,5.0050855461042261
-48.515000000000001,5.004668390392732,-0,5.004668390392732
-48.487499999999997,5.0042508126185306,-0,5.0042508126185306
-48.460000000000001,5.0038328121421989,-0,5.0038328121421989
-48.432499999999997,5.0034143883230193,-0,5.0034143883230193
-48.405000000000001,5.0029955405189908,-0,5.0029955405189908
-48.377499999999998,5.0025762680868064,-0,5.0025762680868064
-48.350000000000001,5.002156570381862,-0,5.002156570381862
-48.322499999999998,5.0017364467582626,-0,5.0017364467582626
-48.295000000000002,5.0013158965687907,-0,5.0013158965687907
-48.267499999999998,5.0008949191649359,-0,5.0008949191649359
-48.240000000000002,5.0004735138968632,-0,5.0004735138968632
-48.212499999999999,5.0000516801134296,-0,5.0000516801134296
-48.185000000000002,4.9996294171621729,-0,4.9996294171621729
-48.157499999999999,4.9992067243893068,-0,4.9992067243893068
-48.130000000000003,4.9987836011397206,-0,4.9987836011397206
-48.102499999999999,4.9983600467569769,-0,4.9983600467569769
-48.075000000000003,4.997936060583303,-0,4.997936060583303
-48.047499999999999,4.9975116419595889,-0,4.9975116419595889
-48.020000000000003,4.9970867902253957,-0,4.9970867902253957
-47.9925,4.9966615047189311,-0,4.9966615047189311
-47.965000000000003,4.9962357847770651,-0,4.9962357847770651
-47.9375,4.9958096297353141,-0,4.9958096297353141
-47.909999999999997,4.9953830389278426,-0,4.9953830389278426
-47.8825,4.9949560116874618,-0,4.9949560116874618
-47.854999999999997,4.9945285473456247,-0,4.9945285473456247
-47.827500000000001,4.9941006452324128,-0,4.9941006452324128
-47.799999999999997,4.9936723046765543,-0,4.9936723046765543
-47.772500000000001,4.9932435250053979,-0,4.9932435250053979
-47.744999999999997,4.9928143055449228,-0,4.9928143055449228
-47.717500000000001,4.9923846456197323,-0,4.9923846456197323
-47.689999999999998,4.9919545445530478,-0,4.9919545445530478
-47.662500000000001,4.991524001666706,-0,4.991524001666706
-47.634999999999998,4.9910930162811633,-0,4.9910930162811633
-47.607500000000002,4.9906615877154756,-0,4.9906615877154756
-47.579999999999998,4.9902297152873123,-0,4.9902297152873123
-47.552500000000002,4.9897973983129402,-0,4.9897973983129402
-47.524999999999999,4.9893646361072239,-0,4.9893646361072239
-47.497500000000002,4.9889314279836317,-0,4.9889314279836317
-47.469999999999999,4.9884977732542151,-0,4.9884977732542151
-47.442500000000003,4.9880636712296127,-0,4.9880636712296127
-47.414999999999999,4.9876291212190509,-0,4.9876291212190509
-47.387500000000003,4.9871941225303384,-0,4.9871941225303384
-47.359999999999999,4.9867586744698578,-0,4.9867586744698578
-47.332500000000003,4.9863227763425622,-0,4.9863227763425622
-47.305,4.9858864274519821,-0,4.9858864274519821
-47.277500000000003,4.9854496271002073,-0,4.9854496271002073
-47.25,4.9850123745878943,-0,4.9850123745878943
-47.222499999999997,4.9845746692142541,-0,4.9845746692142541
-47.195,4.9841365102770556,-0,4.9841365102770556
-47.167499999999997,4.9836978970726138,-0,4.9836978970726138
-47.140000000000001,4.9832588288958011,-0,4.9832588288958011
-47.112499999999997,4.982819305040028,-0,4.982819305040028
-47.085000000000001,4.9823793247972405,-0,4.9823793247972405
-47.057499999999997,4.9819388874579253,-0,4.9819388874579253
-47.030000000000001,4.9814979923111018,-0,4.9814979923111018
-47.002499999999998,4.9810566386443185,-0,4.9810566386443185
-46.975000000000001,4.9806148257436487,-0,4.9806148257436487
-46.947499999999998,4.9801725528936842,-0,4.9801725528936842
-46.920000000000002,4.9797298193775372,-0,4.9797298193775372
-46.892499999999998,4.9792866244768286,-0,4.9792866244768286
-46.865000000000002,4.9788429674716914,-0,4.9788429674716914
-46.837499999999999,4.9783988476407686,-0,4.9783988476407686
