t,y1,y2
0,2,0
0.01,1.9933149247913096,-0.67040373663548491
0.02,1.9865919115037158,-0.67420990182075569
0.029999999999999999,1.9798304840136336,-0.67808695541679642
0.040000000000000001,1.9730299216654739,-0.6820372614443222
0.050000000000000003,1.9661894805412272,-0.68606311967317546
0.059999999999999998,1.9593083924433685,-0.69016701547972026
0.070000000000000007,1.9523858636409026,-0.69435168725665508
0.080000000000000002,1.9454210737695539,-0.6986195995282426
0.089999999999999997,1.9384131744615363,-0.70297299372942645
0.10000000000000001,1.9313612880643427,-0.70741756280683521
0.11,1.9242645061129966,-0.71195333859070253
0.12,1.9171218878989214,-0.71658537667992384
0.13,1.9099324586682427,-0.7213164340964443
0.14000000000000001,1.9026952080263166,-0.72615008500181588
0.14999999999999999,1.8954090879899279,-0.73109093156345517
0.16,1.8880730110133219,-0.73614217706977481
0.17000000000000001,1.8806858477842474,-0.74130890060378807
0.17999999999999999,1.8732464250486243,-0.74659500391670286
0.19,1.8657535230877444,-0.75200552774100826
0.20000000000000001,1.8582058730780715,-0.75754541041749746
0.20999999999999999,1.850602154309162,-0.76322014566917518
0.22,1.842940991094012,-0.76903528121760645
0.23000000000000001,1.8352209494869642,-0.77499642620049081
0.23999999999999999,1.8274405339295203,-0.78111071635835461
0.25,1.8195981831316184,-0.78738471564459134
0.26000000000000001,1.8116922662043886,-0.79382553173177406
0.27000000000000002,1.8037210781104145,-0.8004404767619886
0.28000000000000003,1.7956828347372844,-0.80723790360179593
0.28999999999999998,1.78757566790345,-0.81422662309647054
0.29999999999999999,1.7793976194060948,-0.82141582693004433
0.31,1.7711466349001403,-0.82881548280803408
0.32000000000000001,1.7628205571193727,-0.83643623499566933
0.33000000000000002,1.7544171185280359,-0.84428912355710406
0.34000000000000002,1.745933933158766,-0.85238760080697207
0.35000000000000003,1.7373684876964361,-0.86074374792646424
0.35999999999999999,1.7287181317317686,-0.86937069249532628
0.37,1.7199800670037648,-0.87828798455379475
0.38,1.7111513356814285,-0.88750795752112854
0.39000000000000001,1.7022288069791183,-0.89705023574613674
0.40000000000000002,1.6932091627734174,-0.90693459690926359
0.41000000000000003,1.6840888814447375,-0.91718153216496112
0.41999999999999998,1.674864219788986,-0.92781446176182336
0.42999999999999999,1.6655311930208181,-0.93885843817993775
0.44,1.6560855523681683,-0.95034199916830109
0.45000000000000001,1.6465227593103569,-0.96229438019283231
0.46000000000000002,1.6368379576497336,-0.97474935571172416
0.47000000000000003,1.6270259409554682,-0.98774362994751386
0.47999999999999998,1.6170811159706637,-1.0013179012111511
0.48999999999999999,1.6069974612627509,-1.0155171955559488
0.5,1.5967684795268133,-1.030391810426676
0.51000000000000001,1.5863871430138257,-1.0459977885763041
0.52000000000000002,1.5758458304588125,-1.0623966497983859
0.53000000000000003,1.5651362547668612,-1.0796625291082249
0.54000000000000004,1.5542493771433465,-1.0978717867122108
0.55000000000000004,1.5431753089722593,-1.1171162546812528
0.56000000000000005,1.5319031944196648,-1.1374990105957359
0.57000000000000006,1.5204210726721066,-1.1591382827007579
0.57999999999999996,1.5087157115209557,-1.1821705028766138
0.58999999999999997,1.4967724120025969,-1.2067535347419782
0.59999999999999998,1.4845747670561231,-1.2330715782321806
0.60999999999999999,1.4721043691861011,-1.2613420665429109
0.62,1.4593404530930048,-1.291819210986505
0.63,1.4462594454200337,-1.3248149769737068
0.64000000000000001,1.4328344019275254,-1.3606942153313157
0.65000000000000002,1.4190342894725885,-1.3999094004866879
0.66000000000000003,1.4048230605765761,-1.4430183414776809
0.67000000000000004,1.3901584319284364,-1.4907163656756386
0.68000000000000005,1.3749902657972968,-1.5438887028939012
0.69000000000000006,1.3592583478287379,-1.6036794919759789
0.70000000000000007,1.3428892891687418,-1.6715991829635475
0.70999999999999996,1.3257921020902872,-1.7496890446802849
0.71999999999999997,1.3078516065029444,-1.8407967660484934
0.72999999999999998,1.2889185177472176,-1.9490174225142955
0.73999999999999999,1.2687930688459488,-2.0805271910545429
0.75,1.2471973235629599,-2.245142031308601
0.76000000000000001,1.2237240302676311,-2.4596944826038003
0.77000000000000002,1.1977326861909781,-2.7560920463039653
0.78000000000000003,1.1681036871517243,-3.204814663392392
0.79000000000000004,1.1325045219239023,-4.0075171163587635
0.80000000000000004,1.0838944356483107,-6.1972886271134593
0.81000000000000005,-1.9980045997763456,0.66777715000596616
0.82000000000000006,-1.9913080936600169,0.6715348718505294
0.83000000000000007,-1.9845736651006336,0.67536187886466992
0.83999999999999997,-1.9778006091558935,0.67926063332812681
0.84999999999999998,-1.970988198343709,0.68323334210943854
0.85999999999999999,-1.9641356816020945,0.6872821948563882
0.87,-1.9572422831987932,0.69141008471697929
0.88,-1.9503072015929332,0.69561935486277693
0.89000000000000001,-1.9433296081614684,0.69991287647315636
0.90000000000000002,-1.9363086459306642,0.70429359782531176
0.91000000000000003,-1.9292434281839355,0.7087638492482472
0.92000000000000004,-1.9221330370147087,0.71332880561260692
0.93000000000000005,-1.9149765216241488,0.71798966809348852
0.94000000000000006,-1.9077728968526786,0.72275120276495475
0.95000000000000007,-1.9005211412586167,0.72761659256556765
0.95999999999999996,-1.8932201952257732,0.73258993371171399
0.96999999999999997,-1.8858689589666002,0.73767532565728677
0.97999999999999998,-1.8784662902721145,0.74287718175068962
0.98999999999999999,-1.8710110022359119,0.74820001013146409
