x,ReR,ImR,AbsR
-50,-0.034737620103473699,0,0.034737620103473699
-49.972499999999997,-0.034754017075429022,0,0.034754017075429022
-49.945,-0.034770429296017813,0,0.034770429296017813
-49.917499999999997,-0.034786856786097831,0,0.034786856786097831
-49.890000000000001,-0.034803299566561696,0,0.034803299566561696
-49.862499999999997,-0.034819757658340889,0,0.034819757658340889
-49.835000000000001,-0.03483623108240308,0,0.03483623108240308
-49.807499999999997,-0.034852719859753023,0,0.034852719859753023
-49.780000000000001,-0.034869224011433886,0,0.034869224011433886
-49.752499999999998,-0.034885743558524362,0,0.034885743558524362
-49.725000000000001,-0.034902278522143559,0,0.034902278522143559
-49.697499999999998,-0.034918828923445,0,0.034918828923445
-49.670000000000002,-0.034935394783622398,0,0.034935394783622398
-49.642499999999998,-0.034951976123905437,0,0.034951976123905437
-49.615000000000002,-0.034968572965563105,0,0.034968572965563105
-49.587499999999999,-0.034985185329900803,0,0.034985185329900803
-49.560000000000002,-0.035001813238263013,0,0.035001813238263013
-49.532499999999999,-0.035018456712032409,0,0.035018456712032409
-49.505000000000003,-0.035035115772628522,0,0.035035115772628522
-49.477499999999999,-0.035051790441510633,0,0.035051790441510633
-49.450000000000003,-0.035068480740175323,0,0.035068480740175323
-49.422499999999999,-0.035085186690158032,0,0.035085186690158032
-49.395000000000003,-0.035101908313032615,0,0.035101908313032615
-49.3675,-0.035118645630410894,0,0.035118645630410894
-49.340000000000003,-0.035135398663944883,0,0.035135398663944883
-49.3125,-0.035152167435323678,0,0.035152167435323678
-49.284999999999997,-0.035168951966276341,0,0.035168951966276341
-49.2575,-0.03518575227856946,0,0.03518575227856946
-49.229999999999997,-0.035202568394010259,0,0.035202568394010259
-49.202500000000001,-0.035219400334443707,0,0.035219400334443707
-49.174999999999997,-0.035236248121754743,0,0.035236248121754743
-49.147500000000001,-0.035253111777867607,0,0.035253111777867607
-49.119999999999997,-0.03526999132474451,0,0.03526999132474451
-49.092500000000001,-0.03528688678438896,0,0.03528688678438896
-49.064999999999998,-0.035303798178841994,0,0.035303798178841994
-49.037500000000001,-0.03532072553018728,0,0.03532072553018728
-49.009999999999998,-0.035337668860544014,0,0.035337668860544014
-48.982500000000002,-0.0353546281920738,0,0.0353546281920738
-48.954999999999998,-0.03537160354697777,0,0.03537160354697777
-48.927500000000002,-0.035388594947497021,0,0.035388594947497021
-48.899999999999999,-0.035405602415911952,0,0.035405602415911952
-48.872500000000002,-0.035422625974542932,0,0.035422625974542932
-48.844999999999999,-0.03543966564575185,0,0.03543966564575185
-48.817500000000003,-0.035456721451939677,0,0.035456721451939677
-48.789999999999999,-0.035473793415548238,0,0.035473793415548238
-48.762500000000003,-0.035490881559059106,0,0.035490881559059106
-48.734999999999999,-0.035507985904995154,0,0.035507985904995154
-48.707500000000003,-0.035525106475919666,0,0.035525106475919666
-48.68,-0.035542243294436338,0,0.035542243294436338
-48.652500000000003,-0.035559396383189945,0,0.035559396383189945
-48.625,-0.035576565764865453,0,0.035576565764865453
-48.597499999999997,-0.035593751462190681,0,0.035593751462190681
-48.57,-0.035610953497931863,0,0.035610953497931863
-48.542499999999997,-0.035628171894898752,0,0.035628171894898752
-48.515000000000001,-0.035645406675940405,0,0.035645406675940405
-48.487499999999997,-0.035662657863948954,0,0.035662657863948954
-48.460000000000001,-0.035679925481855612,0,0.035679925481855612
-48.432499999999997,-0.035697209552635556,0,0.035697209552635556
-48.405000000000001,-0.035714510099303931,0,0.035714510099303931
-48.377499999999998,-0.035731827144919182,0,0.035731827144919182
-48.350000000000001,-0.035749160712579053,0,0.035749160712579053
-48.322499999999998,-0.035766510825425035,0,0.035766510825425035
-48.295000000000002,-0.035783877506640582,0,0.035783877506640582
-48.267499999999998,-0.035801260779449784,0,0.035801260779449784
-48.240000000000002,-0.035818660667120028,0,0.035818660667120028
-48.212499999999999,-0.035836077192961557,0,0.035836077192961557
-48.185000000000002,-0.035853510380324138,0,0.035853510380324138
-48.157499999999999,-0.035870960252603501,0,0.035870960252603501
-48.130000000000003,-0.035888426833234899,0,0.035888426833234899
-48.102499999999999,-0.035905910145698661,0,0.035905910145698661
-48.075000000000003,-0.035923410213515528,0,0.035923410213515528
-48.047499999999999,-0.035940927060250649,0,0.035940927060250649
-48.020000000000003,-0.035958460709511142,0,0.035958460709511142
-47.9925,-0.035976011184947421,0,0.035976011184947421
-47.965000000000003,-0.035993578510252755,0,0.035993578510252755
-47.9375,-0.036011162709163713,0,0.036011162709163713
-47.909999999999997,-0.036028763805460384,0,0.036028763805460384
-47.8825,-0.036046381822966156,0,0.036046381822966156
-47.854999999999997,-0.036064016785546382,0,0.036064016785546382
-47.827500000000001,-0.036081668717112603,0,0.036081668717112603
-47.799999999999997,-0.036099337641617435,0,0.036099337641617435
-47.772500000000001,-0.036117023583059016,0,0.036117023583059016
-47.744999999999997,-0.036134726565477449,0,0.036134726565477449
-47.717500000000001,-0.036152446612959022,0,0.036152446612959022
-47.689999999999998,-0.036170183749632434,0,0.036170183749632434
-47.662500000000001,-0.036187937999670572,0,0.036187937999670572
-47.634999999999998,-0.036205709387291396,0,0.036205709387291396
-47.607500000000002,-0.036223497936755944,0,0.036223497936755944
-47.579999999999998,-0.036241303672370995,0,0.036241303672370995
-47.552500000000002,-0.036259126618486182,0,0.036259126618486182
-47.524999999999999,-0.036276966799497101,0,0.036276966799497101
-47.497500000000002,-0.036294824239843759,0,0.036294824239843759
-47.469999999999999,-0.036312698964010348,0,0.036312698964010348
-47.442500000000003,-0.036330590996526135,0,0.036330590996526135
-47.414999999999999,-0.036348500361965908,0,0.036348500361965908
-47.387500000000003,-0.036366427084948638,0,0.036366427084948638
-47.359999999999999,-0.036384371190139708,0,0.036384371190139708
-47.332500000000003,-0.036402332702248019,0,0.036402332702248019
-47.305,-0.03642031164602999,0,0.03642031164602999
-47.277500000000003,-0.036438308046284895,0,0.036438308046284895
-47.25,-0.036456321927859525,0,0.036456321927859525
-47.222499999999997,-0.036474353315646413,0,0.036474353315646413
-47.195,-0.036492402234582721,0,0.036492402234582721
-47.167499999999997,-0.0365104687096518,0,0.0365104687096518
-47.140000000000001,-0.036528552765883182,0,0.036528552765883182
-47.112499999999997,-0.036546654428353254,0,0.036546654428353254
-47.085000000000001,-0.036564773722182364,0,0.036564773722182364
-47.057499999999997,-0.036582910672539048,0,0.036582910672539048
-47.030000000000001,-0.036601065304638247,0,0.036601065304638247
-47.002499999999998,-0.036619237643740199,0,0.036619237643740199
-46.975000000000001,-0.036637427715151549,0,0.036637427715151549
-46.947499999999998,-0.036655635544227794,0,0.036655635544227794
-46.920000000000002,-0.036673861156369281,0,0.036673861156369281
-46.892499999999998,-0.036692104577022322,0,0.036692104577022322
-46.865000000000002,-0.036710365831683855,0,0.036710365831683855
-46.837499999999999,-0.036728644945893896,0,0.036728644945893896
-46.810000000000002,-0.036746941945241751,0,0.036746941945241751
-46.782499999999999,-0.036765256855364248,0,0.036765256855364248
-46.755000000000003,-0.036783589701944175,0,0.036783589701944175
-46.727499999999999,-0.036801940510712949,0,0.036801940510712949
-46.700000000000003,-0.036820309307449506,0,0.036820309307449506
-46.672499999999999,-0.036838696117980518,0,0.036838696117980518
-46.645000000000003,-0.036857100968178846,0,0.036857100968178846
-46.6175,-0.036875523883967753,0,0.036875523883967753
-46.590000000000003,-0.036893964891316688,0,0.036893964891316688
-46.5625,-0.03691242401624506,0,0.03691242401624506
-46.534999999999997,-0.036930901284818241,0,0.036930901284818241
-46.5075,-0.036949396723151562,0,0.036949396723151562
-46.479999999999997,-0.036967910357408762,0,0.036967910357408762
-46.452500000000001,-0.036986442213800208,0,0.036986442213800208
-46.424999999999997,-0.037004992318588004,0,0.037004992318588004
-46.397500000000001,-0.037023560698080882,0,0.037023560698080882
-46.369999999999997,-0.037042147378636425,0,0.037042147378636425
-46.342500000000001,-0.037060752386661511,0,0.037060752386661511
-46.314999999999998,-0.037079375748613419,0,0.037079375748613419
-46.287500000000001,-0.037098017490997393,0,0.037098017490997393
-46.259999999999998,-0.037116677640367746,0,0.037116677640367746
-46.232500000000002,-0.037135356223328309,0,0.037135356223328309
-46.204999999999998,-0.037154053266533538,0,0.037154053266533538
-46.177500000000002,-0.037172768796686073,0,0.037172768796686073
-46.149999999999999,-0.037191502840538959,0,0.037191502840538959
-46.122500000000002,-0.037210255424894978,0,0.037210255424894978
-46.094999999999999,-0.037229026576607538,0,0.037229026576607538
-46.067500000000003,-0.037247816322578675,0,0.037247816322578675
-46.039999999999999,-0.03726662468976194,0,0.03726662468976194
-46.012500000000003,-0.037285451705161288,0,0.037285451705161288
-45.984999999999999,-0.037304297395829522,0,0.037304297395829522
-45.957499999999996,-0.037323161788871406,0,0.037323161788871406
-45.93,-0.037342044911442107,0,0.037342044911442107
-45.902500000000003,-0.037360946790746308,0,0.037360946790746308
-45.875,-0.037379867454041316,0,0.037379867454041316
-45.847499999999997,-0.037398806928634398,0,0.037398806928634398
-45.82,-0.03741776524188456,0,0.03741776524188456
-45.792500000000004,-0.037436742421201208,0,0.037436742421201208
-45.765000000000001,-0.037455738494044155,0,0.037455738494044155
-45.737499999999997,-0.037474753487928725,0,0.037474753487928725
-45.710000000000001,-0.037493787430416647,0,0.037493787430416647
-45.682499999999997,-0.037512840349123389,0,0.037512840349123389
-45.655000000000001,-0.037531912271717927,0,0.037531912271717927
-45.627499999999998,-0.037551003225918089,0,0.037551003225918089
-45.600000000000001,-0.037570113239496328,0,0.037570113239496328
-45.572499999999998,-0.037589242340275053,0,0.037589242340275053
-45.545000000000002,-0.037608390556130855,0,0.037608390556130855
-45.517499999999998,-0.037627557914989618,0,0.037627557914989618
-45.490000000000002,-0.037646744444834512,0,0.037646744444834512
-45.462499999999999,-0.037665950173697338,0,0.037665950173697338
-45.435000000000002,-0.03768517512966274,0,0.03768517512966274
-45.407499999999999,-0.037704419340869988,0,0.037704419340869988
-45.380000000000003,-0.037723682835510752,0,0.037723682835510752
-45.352499999999999,-0.037742965641828885,0,0.037742965641828885
-45.325000000000003,-0.037762267788122195,0,0.037762267788122195
-45.297499999999999,-0.037781589302741558,0,0.037781589302741558
-45.269999999999996,-0.037800930214090034,0,0.037800930214090034
-45.2425,-0.037820290550627522,0,0.037820290550627522
-45.215000000000003,-0.037839670340863663,0,0.037839670340863663
-45.1875,-0.037859069613364271,0,0.037859069613364271
-45.159999999999997,-0.037878488396748011,0,0.037878488396748011
-45.1325,-0.037897926719688169,0,0.037897926719688169
-45.105000000000004,-0.037917384610911542,0,0.037917384610911542
-45.077500000000001,-0.037936862099199109,0,0.037936862099199109
-45.049999999999997,-0.037956359213387136,0,0.037956359213387136
-45.022500000000001,-0.037975875982365626,0,0.037975875982365626
-44.994999999999997,-0.037995412435078757,0,0.037995412435078757
-44.967500000000001,-0.038014968600526444,0,0.038014968600526444
-44.939999999999998,-0.038034544507763002,0,0.038034544507763002
-44.912500000000001,-0.038054140185896923,0,0.038054140185896923
-44.884999999999998,-0.038073755664093545,0,0.038073755664093545
-44.857500000000002,-0.038093390971571273,0,0.038093390971571273
-44.829999999999998,-0.038113046137605355,0,0.038113046137605355
-44.802500000000002,-0.038132721191526331,0,0.038132721191526331
